,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,bergen,75,NO,1586623492,100,60.39,5.33,7.78,7.2
373,ilam,47,NP,1586623492,29,26.92,87.92,16.99,2.94
374,vao,13,NC,1586623200,76,-22.67,167.48,24.31,6.18
375,sao filipe,10,CV,1586623196,69,14.9,-24.5,25.39,5.16
376,buala,100,SB,1586623479,82,-8.14,159.59,27.09,3.35
377,bestobe,56,KZ,1586623492,60,52.5,73.1,8.04,3.79
378,oliveira dos brejinhos,78,BR,1586623492,64,-12.32,-42.9,27.32,1.46
379,abu dhabi,97,AE,1586623257,12,24.47,54.37,37.0,2.6
380,cartagena,40,CO,1586623193,70,10.4,-75.51,31.0,5.1
381,anaco,88,VE,1586623493,21,9.44,-64.47,36.94,4.76
